ISBN,Title,Author ID,Author,Publisher ID,Publisher,Publisher phone number,Price (€)
23-5432,Data Analytics,3,Maria O'Neill,1,Tandis Publishers,555-12345,45.00
23-5433,Data for beginners,43,Sonya Smith,2,YY Publishers,678-0000,45.00
23-5434,Data Wrangling,7,Anna Redford,2,YY Publishers,678-0000,32.00
23-5435,Data and marketing,52,Asha Fitzgerald,5,JK Ltd,543-3333,65.00
43-2345,Data Visualisation,3,Maria O'Neill,1,Tandis Publishers,555-12345,34.00
22-3932,Smart marketing,52,Asha Fitzgerald,5,JK Ltd,543-3333,43.00
22-3933,Irish data centers,43,Sonya Smith,2,YY Publishers,678-0000,44.00
43-2145,AI for beginners,12,Marek Schulz,5,JK Ltd,543-3333,64.00
22-3938,Dublin art,3,Maria O'Neill,2,YY Publishers,678-0000,80.00
45-2145,Machine learning,43,Sonya Smith,1,Tandis Publishers,555-12345,78.00
45-2146,Advanced Data Visualisation,52,Asha Fitzgerald,1,Tandis Publishers,555-12345,25.00
45-2147,Working with Data,7,Anna Redford,2,YY Publishers,678-0000,26.00
